forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-09-14,US,R,classic,0.1685,201.25,203.0,179.0,222.0,-8.9,-4.73,-13.12
2018-09-15,US,D,classic,0.8278,233.55,232.0,213.0,256.0,8.9,4.67,13.08
2018-09-15,US,R,classic,0.1722,201.45,203.0,179.0,222.0,-8.9,-4.67,-13.08
2018-09-16,US,D,classic,0.8306,233.69,232.0,213.0,256.0,8.92,4.73,13.09
2018-09-16,US,R,classic,0.1694,201.31,203.0,179.0,222.0,-8.92,-4.73,-13.09
2018-09-17,US,D,classic,0.8227,233.12,232.0,213.0,256.0,8.81,4.62,12.98
2018-09-17,US,R,classic,0.1773,201.88,203.0,179.0,222.0,-8.81,-4.62,-12.98
2018-09-18,US,D,classic,0.8025,232.03,230.0,212.0,254.0,8.62,4.49,12.75
2018-09-18,US,R,classic,0.1975,202.97,205.0,181.0,223.0,-8.62,-4.49,-12.75
2018-09-19,US,D,classic,0.7947,231.65,230.0,211.0,254.0,8.52,4.34,12.66
2018-09-19,US,R,classic,0.2053,203.35,205.0,181.0,224.0,-8.52,-4.34,-12.66
2018-09-20,US,D,classic,0.8005,231.85,230.0,212.0,254.0,8.6,4.41,12.71
2018-09-20,US,R,classic,0.1995,203.15,205.0,181.0,223.0,-8.6,-4.41,-12.71
2018-09-21,US,D,classic,0.8058,232.4,231.0,212.0,255.0,8.61,4.42,12.75
2018-09-21,US,R,classic,0.1942,202.6,204.0,180.0,223.0,-8.61,-4.42,-12.75
2018-09-22,US,D,classic,0.807,232.42,231.0,212.0,255.0,8.63,4.48,12.78
2018-09-22,US,R,classic,0.193,202.58,204.0,180.0,223.0,-8.63,-4.48,-12.78
2018-09-23,US,D,classic,0.8002,232.01,230.0,212.0,255.0,8.54,4.41,12.63
2018-09-23,US,R,classic,0.1998,202.99,205.0,180.0,223.0,-8.54,-4.41,-12.63
2018-09-24,US,D,classic,0.8005,231.89,230.0,212.0,254.0,8.49,4.32,12.6
2018-09-24,US,R,classic,0.1995,203.11,205.0,181.0,223.0,-8.49,-4.32,-12.6
2018-09-25,US,D,classic,0.8029,231.84,230.0,212.0,254.0,8.47,4.37,12.56
2018-09-25,US,R,classic,0.1971,203.16,205.0,181.0,223.0,-8.47,-4.37,-12.56
2018-09-26,US,D,classic,0.8038,231.95,230.0,212.0,254.0,8.52,4.43,12.61
2018-09-26,US,R,classic,0.1962,203.05,205.0,181.0,223.0,-8.52,-4.43,-12.61
2018-09-27,US,D,classic,0.8025,231.96,230.0,212.0,254.0,8.55,4.46,12.61
2018-09-27,US,R,classic,0.1975,203.04,205.0,181.0,223.0,-8.55,-4.46,-12.61
2018-09-28,US,D,classic,0.8017,231.82,230.0,212.0,254.0,8.54,4.47,12.59
2018-09-28,US,R,classic,0.1983,203.18,205.0,181.0,223.0,-8.54,-4.47,-12.59
2018-09-29,US,D,classic,0.8038,231.78,230.0,212.0,254.0,8.52,4.47,12.55
2018-09-29,US,R,classic,0.1962,203.22,205.0,181.0,223.0,-8.52,-4.47,-12.55
2018-09-30,US,D,classic,0.8073,231.88,230.0,212.0,254.0,8.57,4.52,12.65
2018-09-30,US,R,classic,0.1927,203.12,205.0,181.0,223.0,-8.57,-4.52,-12.65
2018-10-01,US,D,classic,0.7628,229.48,228.0,210.0,251.0,8.11,4.02,12.16
2018-10-01,US,R,classic,0.2372,205.52,207.0,184.0,225.0,-8.11,-4.02,-12.16
2018-10-02,US,D,classic,0.772,229.77,228.0,211.0,251.0,8.16,4.13,12.22
2018-10-02,US,R,classic,0.228,205.23,207.0,184.0,224.0,-8.16,-4.13,-12.22
2018-10-03,US,D,classic,0.7505,228.68,227.0,210.0,249.0,7.96,3.92,11.93
2018-10-03,US,R,classic,0.2495,206.32,208.0,186.0,225.0,-7.96,-3.92,-11.93
2018-10-04,US,D,classic,0.739,228.06,226.0,210.0,249.0,7.77,3.76,11.77
2018-10-04,US,R,classic,0.261,206.94,209.0,186.0,225.0,-7.77,-3.76,-11.77
2018-10-05,US,D,classic,0.7423,228.21,227.0,210.0,249.0,7.82,3.85,11.79
2018-10-05,US,R,classic,0.2577,206.79,208.0,186.0,225.0,-7.82,-3.85,-11.79
2018-10-06,US,D,classic,0.7389,228.18,227.0,210.0,249.0,7.82,3.86,11.8
2018-10-06,US,R,classic,0.2611,206.82,208.0,186.0,225.0,-7.82,-3.86,-11.8
2018-10-07,US,D,classic,0.7385,228.06,226.0,209.0,249.0,7.8,3.83,11.77
2018-10-07,US,R,classic,0.2615,206.94,209.0,186.0,226.0,-7.8,-3.83,-11.77
2018-10-08,US,D,classic,0.7383,228.12,226.0,210.0,249.0,7.8,3.86,11.77
2018-10-08,US,R,classic,0.2617,206.88,209.0,186.0,225.0,-7.8,-3.86,-11.77
2018-10-09,US,D,classic,0.7829,230.02,228.0,211.0,251.0,8.12,4.2,12.05
2018-10-09,US,R,classic,0.2171,204.98,207.0,184.0,224.0,-8.12,-4.2,-12.05
2018-10-10,US,D,classic,0.7754,229.74,228.0,211.0,251.0,8.1,4.17,12.01
2018-10-10,US,R,classic,0.2246,205.26,207.0,184.0,224.0,-8.1,-4.17,-12.01
2018-10-11,US,D,classic,0.7782,230.13,228.0,211.0,252.0,8.2,4.27,12.13
2018-10-11,US,R,classic,0.2218,204.87,207.0,183.0,224.0,-8.2,-4.27,-12.13
2018-10-12,US,D,classic,0.7863,230.49,229.0,211.0,252.0,8.29,4.37,12.17
2018-10-12,US,R,classic,0.2137,204.51,206.0,183.0,224.0,-8.29,-4.37,-12.17
2018-10-13,US,D,classic,0.7875,230.51,229.0,211.0,252.0,8.28,4.37,12.17
2018-10-13,US,R,classic,0.2125,204.49,206.0,183.0,224.0,-8.28,-4.37,-12.17
2018-10-14,US,D,classic,0.8153,231.84,230.0,213.0,253.0,8.62,4.69,12.44
2018-10-14,US,R,classic,0.1847,203.16,205.0,182.0,222.0,-8.62,-4.69,-12.44
2018-10-15,US,D,classic,0.8406,234.1,233.0,214.0,257.0,8.76,4.87,12.64
2018-10-15,US,R,classic,0.1594,200.9,202.0,178.0,221.0,-8.76,-4.87,-12.64
2018-10-16,US,D,classic,0.848,234.61,233.0,214.0,257.0,8.86,4.98,12.69
2018-10-16,US,R,classic,0.152,200.39,202.0,178.0,221.0,-8.86,-4.98,-12.69
2018-10-17,US,D,classic,0.8393,234.0,233.0,214.0,256.0,8.78,4.95,12.64
2018-10-17,US,R,classic,0.1607,201.0,202.0,179.0,221.0,-8.78,-4.95,-12.64
2018-10-18,US,D,classic,0.8441,234.13,233.0,214.0,256.0,8.84,5.0,12.63
2018-10-18,US,R,classic,0.1559,200.87,202.0,179.0,221.0,-8.84,-5.0,-12.63
2018-10-19,US,D,classic,0.8429,234.31,233.0,214.0,257.0,8.82,5.03,12.65
2018-10-19,US,R,classic,0.1571,200.69,202.0,178.0,221.0,-8.82,-5.03,-12.65
2018-10-20,US,D,classic,0.8459,234.19,233.0,214.0,256.0,8.87,5.06,12.7
2018-10-20,US,R,classic,0.1541,200.81,202.0,179.0,221.0,-8.87,-5.06,-12.7
2018-10-21,US,D,classic,0.8507,234.45,233.0,214.0,256.0,8.89,5.15,12.65
2018-10-21,US,R,classic,0.1493,200.55,202.0,179.0,221.0,-8.89,-5.15,-12.65
2018-10-22,US,D,classic,0.8647,235.22,234.0,215.0,257.0,9.01,5.25,12.82
2018-10-22,US,R,classic,0.1353,199.78,201.0,178.0,220.0,-9.01,-5.25,-12.82
2018-10-23,US,D,classic,0.8523,234.48,233.0,214.0,257.0,8.95,5.19,12.65
2018-10-23,US,R,classic,0.1477,200.52,202.0,178.0,221.0,-8.95,-5.19,-12.65
2018-10-24,US,D,classic,0.8387,233.44,232.0,214.0,255.0,8.72,4.99,12.45
2018-10-24,US,R,classic,0.1613,201.56,203.0,180.0,221.0,-8.72,-4.99,-12.45
2018-10-25,US,D,classic,0.8412,233.59,232.0,214.0,255.0,8.72,5.02,12.46
2018-10-25,US,R,classic,0.1588,201.41,203.0,180.0,221.0,-8.72,-5.02,-12.46
2018-10-26,US,D,classic,0.8479,233.83,232.0,214.0,255.0,8.75,5.07,12.43
2018-10-26,US,R,classic,0.1521,201.17,203.0,180.0,221.0,-8.75,-5.07,-12.43
2018-10-27,US,D,classic,0.8431,233.69,232.0,214.0,255.0,8.71,5.06,12.42
2018-10-27,US,R,classic,0.1569,201.31,203.0,180.0,221.0,-8.71,-5.06,-12.42
2018-10-28,US,D,classic,0.8475,233.66,232.0,214.0,255.0,8.72,5.08,12.38
2018-10-28,US,R,classic,0.1525,201.34,203.0,180.0,221.0,-8.72,-5.08,-12.38
2018-10-29,US,D,classic,0.8637,234.69,233.0,215.0,256.0,8.98,5.35,12.61
2018-10-29,US,R,classic,0.1363,200.31,202.0,179.0,220.0,-8.98,-5.35,-12.61
2018-10-30,US,D,classic,0.8613,234.25,233.0,215.0,255.0,8.98,5.39,12.57
2018-10-30,US,R,classic,0.1387,200.75,202.0,180.0,220.0,-8.98,-5.39,-12.57
2018-10-31,US,D,classic,0.8496,233.43,232.0,214.0,254.0,8.93,5.35,12.52
2018-10-31,US,R,classic,0.1504,201.57,203.0,181.0,221.0,-8.93,-5.35,-12.52
2018-11-01,US,D,classic,0.8505,233.49,232.0,214.0,254.0,9.09,5.55,12.63
2018-11-01,US,R,classic,0.1495,201.51,203.0,181.0,221.0,-9.09,-5.55,-12.63
2018-11-02,US,D,classic,0.8483,233.17,232.0,214.0,254.0,9.02,5.51,12.52
2018-11-02,US,R,classic,0.1517,201.83,203.0,181.0,221.0,-9.02,-5.51,-12.52
2018-11-03,US,D,classic,0.8593,233.65,232.0,215.0,254.0,8.89,5.68,12.62
2018-11-03,US,R,classic,0.1407,201.35,203.0,181.0,220.0,-8.89,-5.68,-12.62
2018-11-04,US,D,classic,0.8575,233.25,232.0,215.0,253.0,8.95,5.48,12.37
2018-11-04,US,R,classic,0.1425,201.75,203.0,182.0,220.0,-8.95,-5.48,-12.37
2018-11-05,US,D,classic,0.8759,234.06,233.0,216.0,254.0,9.08,5.69,12.45
2018-11-05,US,R,classic,0.1241,200.94,202.0,181.0,219.0,-9.08,-5.69,-12.45
2018-11-06,US,D,classic,0.8792,234.35,233.0,216.0,254.0,9.15,5.75,12.53
2018-11-06,US,R,classic,0.1208,200.65,202.0,181.0,219.0,-9.15,-5.75,-12.53
2018-08-01,US,D,deluxe,0.7087,227.48,226.0,208.0,249.0,7.93,3.62,12.32
2018-08-01,US,R,deluxe,0.2913,207.52,209.0,186.0,227.0,-7.93,-3.62,-12.32
2018-08-02,US,D,deluxe,0.6784,226.15,224.0,207.0,248.0,7.55,3.29,12.03
2018-08-02,US,R,deluxe,0.3216,208.85,211.0,187.0,228.0,-7.55,-3.29,-12.03
2018-08-03,US,D,deluxe,0.6806,226.15,225.0,207.0,247.0,7.56,3.32,11.98
2018-08-03,US,R,deluxe,0.3195,208.85,210.0,188.0,228.0,-7.56,-3.32,-11.98
2018-08-04,US,D,deluxe,0.6808,226.16,224.0,207.0,248.0,7.54,3.3,11.98
2018-08-04,US,R,deluxe,0.3192,208.84,211.0,187.0,228.0,-7.54,-3.3,-11.98
2018-08-05,US,D,deluxe,0.6721,225.8,224.0,207.0,247.0,7.5,3.24,11.94
2018-08-05,US,R,deluxe,0.3279,209.2,211.0,188.0,228.0,-7.5,-3.24,-11.94
2018-08-06,US,D,deluxe,0.6769,225.86,224.0,207.0,247.0,7.51,3.27,11.9
2018-08-06,US,R,deluxe,0.3231,209.14,211.0,188.0,228.0,-7.51,-3.27,-11.9
2018-08-07,US,D,deluxe,0.655,224.99,223.0,206.0,246.0,7.3,3.04,11.69
2018-08-07,US,R,deluxe,0.345,210.01,212.0,189.0,229.0,-7.3,-3.04,-11.69
2018-08-08,US,D,deluxe,0.6471,224.64,223.0,206.0,245.0,7.09,2.86,11.49
2018-08-08,US,R,deluxe,0.3529,210.36,212.0,190.0,229.0,-7.09,-2.86,-11.49
2018-08-09,US,D,deluxe,0.6621,225.4,224.0,206.0,246.0,7.33,3.11,11.72
2018-08-09,US,R,deluxe,0.3379,209.6,211.0,189.0,229.0,-7.33,-3.11,-11.72
2018-08-10,US,D,deluxe,0.6713,225.59,224.0,206.0,247.0,7.33,3.12,11.75
2018-08-10,US,R,deluxe,0.3287,209.41,211.0,188.0,229.0,-7.33,-3.12,-11.75
2018-08-11,US,D,deluxe,0.6702,225.51,224.0,207.0,246.0,7.33,3.14,11.73
2018-08-11,US,R,deluxe,0.3298,209.49,211.0,189.0,228.0,-7.33,-3.14,-11.73
2018-08-12,US,D,deluxe,0.6863,226.18,225.0,207.0,247.0,7.52,3.34,11.9
2018-08-12,US,R,deluxe,0.3137,208.82,210.0,188.0,228.0,-7.52,-3.34,-11.9
2018-08-13,US,D,deluxe,0.6935,226.56,225.0,207.0,248.0,7.67,3.47,12.02
2018-08-13,US,R,deluxe,0.3065,208.44,210.0,187.0,228.0,-7.67,-3.47,-12.02
2018-08-14,US,D,deluxe,0.6925,226.36,225.0,207.0,247.0,7.63,3.43,11.95
2018-08-14,US,R,deluxe,0.3075,208.64,210.0,188.0,228.0,-7.63,-3.43,-11.95
2018-08-15,US,D,deluxe,0.6951,226.46,225.0,207.0,248.0,7.63,3.44,11.96
2018-08-15,US,R,deluxe,0.3049,208.54,210.0,187.0,228.0,-7.63,-3.44,-11.96
2018-08-16,US,D,deluxe,0.6888,226.33,225.0,207.0,247.0,7.64,3.51,11.95
2018-08-16,US,R,deluxe,0.3112,208.67,210.0,188.0,228.0,-7.64,-3.51,-11.95
2018-08-17,US,D,deluxe,0.7058,226.87,225.0,208.0,248.0,7.61,3.47,11.95
2018-08-17,US,R,deluxe,0.2942,208.13,210.0,187.0,227.0,-7.61,-3.47,-11.95
2018-08-18,US,D,deluxe,0.6999,226.83,225.0,208.0,248.0,7.61,3.48,11.96
2018-08-18,US,R,deluxe,0.3001,208.17,210.0,187.0,227.0,-7.61,-3.48,-11.96
2018-08-19,US,D,deluxe,0.706,226.81,225.0,208.0,248.0,7.59,3.44,11.89
2018-08-19,US,R,deluxe,0.294,208.19,210.0,187.0,227.0,-7.59,-3.44,-11.89
2018-08-20,US,D,deluxe,0.6895,226.18,225.0,207.0,247.0,7.6,3.13,12.05
2018-08-20,US,R,deluxe,0.3105,208.82,210.0,188.0,228.0,-7.6,-3.13,-12.05
2018-08-21,US,D,deluxe,0.6889,226.18,225.0,208.0,247.0,7.59,3.16,12.01
2018-08-21,US,R,deluxe,0.3111,208.82,210.0,188.0,227.0,-7.59,-3.16,-12.01
2018-08-22,US,D,deluxe,0.6747,225.48,224.0,207.0,246.0,7.39,2.98,11.8
2018-08-22,US,R,deluxe,0.3253,209.52,211.0,189.0,228.0,-7.39,-2.98,-11.8
2018-08-23,US,D,deluxe,0.6815,225.87,224.0,207.0,246.0,7.51,3.06,11.92
2018-08-23,US,R,deluxe,0.3185,209.13,211.0,189.0,228.0,-7.51,-3.06,-11.92
2018-08-24,US,D,deluxe,0.6882,226.03,225.0,207.0,246.0,7.54,3.12,11.92
2018-08-24,US,R,deluxe,0.3118,208.97,210.0,189.0,228.0,-7.54,-3.12,-11.92
2018-08-25,US,D,deluxe,0.6902,226.12,225.0,208.0,247.0,7.55,3.09,11.96
2018-08-25,US,R,deluxe,0.3098,208.88,210.0,188.0,227.0,-7.55,-3.09,-11.96
2018-08-26,US,D,deluxe,0.6858,225.96,224.0,208.0,246.0,7.57,3.17,11.9
2018-08-26,US,R,deluxe,0.3142,209.04,211.0,189.0,227.0,-7.57,-3.17,-11.9
2018-08-27,US,D,deluxe,0.6779,225.59,224.0,207.0,246.0,7.51,3.12,11.89
2018-08-27,US,R,deluxe,0.3221,209.41,211.0,189.0,228.0,-7.51,-3.12,-11.89
2018-08-28,US,D,deluxe,0.7036,226.61,225.0,208.0,247.0,7.88,3.51,12.26
2018-08-28,US,R,deluxe,0.2964,208.39,210.0,188.0,227.0,-7.88,-3.51,-12.26
2018-08-29,US,D,deluxe,0.6904,225.84,224.0,208.0,246.0,7.69,3.33,12.02
2018-08-29,US,R,deluxe,0.3096,209.16,211.0,189.0,227.0,-7.69,-3.33,-12.02
2018-08-30,US,D,deluxe,0.6805,225.58,224.0,207.0,245.0,7.65,3.24,12.01
2018-08-30,US,R,deluxe,0.3195,209.42,211.0,190.0,228.0,-7.65,-3.24,-12.01
2018-08-31,US,D,deluxe,0.7,226.39,225.0,208.0,247.0,7.83,3.48,12.14
2018-08-31,US,R,deluxe,0.3,208.61,210.0,188.0,227.0,-7.83,-3.48,-12.14
2018-09-01,US,D,deluxe,0.6992,226.37,225.0,208.0,247.0,7.83,3.54,12.18
2018-09-01,US,R,deluxe,0.3008,208.63,210.0,188.0,227.0,-7.83,-3.54,-12.18
2018-09-02,US,D,deluxe,0.6971,226.33,225.0,208.0,247.0,7.76,3.43,12.06
2018-09-02,US,R,deluxe,0.3029,208.67,210.0,188.0,227.0,-7.76,-3.43,-12.06
2018-09-03,US,D,deluxe,0.7347,227.88,227.0,209.0,248.0,8.18,3.84,12.5
2018-09-03,US,R,deluxe,0.2653,207.12,208.0,187.0,226.0,-8.18,-3.84,-12.5
2018-09-04,US,D,deluxe,0.7517,228.65,227.0,210.0,249.0,8.41,4.09,12.73
2018-09-04,US,R,deluxe,0.2483,206.35,208.0,186.0,225.0,-8.41,-4.09,-12.73
2018-09-05,US,D,deluxe,0.7275,227.55,226.0,209.0,248.0,8.1,3.83,12.37
2018-09-05,US,R,deluxe,0.2725,207.45,209.0,187.0,226.0,-8.1,-3.83,-12.37
2018-09-06,US,D,deluxe,0.7333,227.78,226.0,209.0,248.0,8.11,3.88,12.4
2018-09-06,US,R,deluxe,0.2667,207.22,209.0,187.0,226.0,-8.11,-3.88,-12.4
2018-09-07,US,D,deluxe,0.7215,227.38,226.0,209.0,248.0,8.1,3.78,12.37
2018-09-07,US,R,deluxe,0.2785,207.62,209.0,187.0,226.0,-8.1,-3.78,-12.37
2018-09-08,US,D,deluxe,0.7375,228.1,227.0,209.0,249.0,8.25,4.0,12.53
2018-09-08,US,R,deluxe,0.2625,206.9,208.0,186.0,226.0,-8.25,-4.0,-12.53
2018-09-09,US,D,deluxe,0.7375,228.03,227.0,209.0,249.0,8.27,3.96,12.55
2018-09-09,US,R,deluxe,0.2625,206.97,208.0,186.0,226.0,-8.27,-3.96,-12.55
2018-09-10,US,D,deluxe,0.744,228.31,227.0,210.0,249.0,8.32,4.01,12.55
2018-09-10,US,R,deluxe,0.256,206.69,208.0,186.0,225.0,-8.32,-4.01,-12.55
2018-09-11,US,D,deluxe,0.7432,228.28,227.0,210.0,249.0,8.45,4.16,12.67
2018-09-11,US,R,deluxe,0.2568,206.72,208.0,186.0,225.0,-8.45,-4.16,-12.67
2018-09-12,US,D,deluxe,0.7814,230.19,229.0,211.0,251.0,8.93,4.73,13.1
2018-09-12,US,R,deluxe,0.2186,204.81,206.0,184.0,224.0,-8.93,-4.73,-13.1
2018-09-13,US,D,deluxe,0.7797,230.1,229.0,211.0,251.0,8.9,4.7,13.14
