president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,9/11/2019,1/24/2017,1/26/2017,Gallup,B,1500,a,.190472,0,45,48,46.1321,46.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49242,77254,1/27/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/24/2017,1/26/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1918633,0,55,45,49.40622,46.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49234,77246,1/27/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/23/2017,1/27/2017,Ipsos,B+,1712,a,.1914354,0,44.5,45.5,45.26605,44.24121,"",T,http://polling.reuters.com/#poll/CP3_2/,49423,77596,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/24/2017,1/28/2017,Ipsos,B+,1684,a,.1784696,0,45.4,46,46.16605,44.74121,"",T,http://polling.reuters.com/#poll/CP3_2/,49422,77595,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/25/2017,1/27/2017,Gallup,B,1500,a,.1825002,0,42,50,43.1321,48.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49257,77269,1/28/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/26/2017,1/28/2017,Morning Consult,B-,1991,rv,.7877128,0,49,41,47.36335,42.6701,"","",https://www.politico.com/f/?id=00000159-f6e7-da98-a77d-f6f7cba90001,49241,77253,1/29/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/25/2017,1/29/2017,Ipsos,B+,1630,a,.1646691,0,48.2,45.1,48.96605,43.84121,"",T,http://polling.reuters.com/#poll/CP3_2/,49421,77594,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/26/2017,1/28/2017,Gallup,B,1500,a,.1759301,0,42,51,43.1321,49.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49251,77263,1/29/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/25/2017,1/29/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.103974,0,53,47,47.40622,48.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49239,77251,1/30/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/26/2017,1/30/2017,SurveyMonkey,D-,4444,a,.2119286,0,48,50,45.57378,49.00428,"","",https://blog.electiontracking.surveymonkey.com/2017/01/31/trump-approval-americans-divided-right-from-the-start/,49240,77252,1/31/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/26/2017,1/30/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2973784,0,51,49,45.40622,50.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49243,77255,1/31/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/27/2017,1/29/2017,Gallup,B,1500,a,.1705319,0,43,50,44.1321,48.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49235,77247,1/30/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/26/2017,1/30/2017,Ipsos,B+,2204,a,.2132604,0,46.8,45.8,47.56605,44.54121,"",T,http://polling.reuters.com/#poll/CP3_2/,49420,77593,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/28/2017,1/30/2017,Gallup,B,1500,a,.1661397,0,43,51,44.1321,49.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49267,77279,1/31/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/27/2017,1/31/2017,Ipsos,B+,3153,a,.2940032,0,45.3,46.9,46.06605,45.64121,"",T,http://polling.reuters.com/#poll/CP3_2/,49419,77592,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/27/2017,2/2/2017,IBD/TIPP,A-,885,a,1.517317,0,42,48,43.78473,46.85392,"","",http://www.investors.com/wp-content/uploads/2017/02/IBDTIPP_Poll_2017_02.pdf,49269,77282,2/3/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/29/2017,1/31/2017,Gallup,B,1500,a,.1626348,0,43,52,44.1321,50.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49244,77256,2/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/29/2017,1/31/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1551301,0,53,47,47.40622,48.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49250,77262,2/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/28/2017,1/31/2017,YouGov,B,1500,a,.8307608,0,43,44,43.92881,46.31638,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qg8b1mgh4b/econToplines.pdf,49268,77280,2/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/28/2017,2/1/2017,Ipsos,B+,3141,a,.2846596,0,45,47.9,45.76605,46.64121,"",T,http://polling.reuters.com/#poll/CP3_2/,49418,77591,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/30/2017,1/31/2017,Public Policy Polling,B,725,rv,.7824737,0,47,49,46.47736,49.27782,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf,49238,77250,2/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/29/2017,2/2/2017,Ipsos,B+,3154,a,.2800674,0,45.3,47.4,46.06605,46.14121,"",T,http://polling.reuters.com/#poll/CP3_2/,49417,77590,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/30/2017,2/1/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1516319,0,53,47,47.40622,48.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49258,77270,2/2/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/30/2017,2/1/2017,Gallup,B,1500,a,.1599346,0,43,52,44.1321,50.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49232,77244,2/2/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/31/2017,2/2/2017,Gallup,B,1500,a,.1579862,0,43,52,44.1321,50.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49233,77245,2/3/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/30/2017,2/3/2017,Ipsos,B+,3368,a,.2952999,0,44.9,47.7,45.66605,46.44121,"",T,http://polling.reuters.com/#poll/CP3_2/,49416,77589,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/31/2017,2/2/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.148639,0,54,46,48.40622,47.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49263,77275,2/3/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/31/2017,2/2/2017,CNN/Opinion Research Corp.,B+,1002,a,1.544354,0,44,53,43.78688,51.44535,"","",http://i2.cdn.turner.com/cnn/2017/images/02/03/rel2a.-.trump.pdf,49264,77276,2/3/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/1/2017,2/2/2017,CBS News,A-,1019,a,1.631781,0,40,48,41.40677,47.29216,"","",http://www.cbsnews.com/news/americans-sharply-divided-along-partisan-lines-over-travel-ban-trump-cbs-news-poll/?ftag=CNM-00-10aab7e&linkId=34085362,49252,77264,2/3/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/1/2017,2/3/2017,Gallup,B,1500,a,.1562655,0,44,50,45.1321,48.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49248,77260,2/4/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/31/2017,2/4/2017,Ipsos,B+,2774,a,.2421593,0,45.2,47.7,45.96605,46.44121,"",T,http://polling.reuters.com/#poll/CP3_2/,49415,77588,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/30/2017,2/5/2017,SurveyMonkey,D-,9219,a,.2910465,0,46,52,43.57378,51.00428,"","",https://blog.electiontracking.surveymonkey.com/2017/02/06/trump-approval-january-30-february-5/,49272,77286,2/6/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/2/2017,2/4/2017,Gallup,B,1500,a,.1547504,0,42,53,43.1321,51.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49265,77277,2/5/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/1/2017,2/5/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.0870447,0,53,47,47.40622,48.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49256,77268,2/6/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/2/2017,2/4/2017,Zogby Interactive/JZ Analytics,C,860,lv,.8962702,0,47,43,44.77061,44.16159,"","",https://www.zogbyanalytics.com/news/768-voters-agree-with-president-trump-s-executive-orders-president-s-approval-rating-up,49270,77284,2/5/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/2/2017,2/4/2017,Morning Consult,B-,2123,a,.8085514,0,48,43,46.36335,44.6701,"","",https://morningconsult.com/wp-content/uploads/2017/06/170105_topline_Brands_v3_AG.pdf,49275,92571,1/9/2019,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/1/2017,2/5/2017,Ipsos,B+,1849,a,.1613469,0,47.5,46.8,48.26605,45.54121,"",T,http://polling.reuters.com/#poll/CP3_2/,49414,77587,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/2/2017,2/6/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2568875,0,53,47,47.40622,48.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49271,77285,2/7/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/2/2017,2/6/2017,Quinnipiac University,A-,1155,rv,1.502467,0,42,51,43.82228,49.64786,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2427,49276,77290,2/7/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/2/2017,2/6/2017,McLaughlin & Associates,C-,1000,lv,.7322547,0,48,48,44.02007,49.80754,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79636,11/16/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/3/2017,2/5/2017,Gallup,B,1500,a,.1534224,0,42,52,43.1321,50.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49261,77273,2/6/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/2/2017,2/6/2017,Ipsos,B+,1869,a,.163311,0,47.1,47.5,47.86605,46.24121,"",T,http://polling.reuters.com/#poll/CP3_2/,49413,77586,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/3/2017,2/7/2017,Ipsos,B+,1900,a,.16636,0,47.5,47.6,48.26605,46.34121,"",T,http://polling.reuters.com/#poll/CP3_2/,49412,77585,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/4/2017,2/6/2017,Gallup,B,1500,a,.1522663,0,42,54,43.1321,52.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49274,77288,2/7/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/5/2017,2/7/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1401103,0,53,47,47.40622,48.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49277,77291,2/8/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/5/2017,2/6/2017,Emerson College,B+,617,rv,1.095338,0,48.1,47.2,47.3917,49.32875,"","",http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,77307,2/7/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/5/2017,2/7/2017,YouGov,B,1500,a,.8567116,0,41,48,41.92881,50.31638,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4zurt7hzwj/econToplines.pdf,49273,77287,2/8/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/5/2017,2/7/2017,Gallup,B,1500,a,.1512694,0,43,52,44.1321,50.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49291,77306,2/8/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/4/2017,2/8/2017,Ipsos,B+,1718,a,.1508667,0,47.5,47.6,48.26605,46.34121,"",T,http://polling.reuters.com/#poll/CP3_2/,49411,77584,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/6/2017,2/8/2017,Gallup,B,1500,a,.1504216,0,43,52,44.1321,50.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49286,77301,2/9/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/6/2017,2/8/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1395808,0,53,47,47.40622,48.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49290,77305,2/9/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/5/2017,2/9/2017,Ipsos,B+,1756,a,.1547042,0,47.8,46.4,48.56605,45.14121,"",T,http://polling.reuters.com/#poll/CP3_2/,49410,77583,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/7/2017,2/9/2017,Gallup,B,1500,a,.1497145,0,42,52,43.1321,50.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49289,77304,2/10/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/7/2017,2/9/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1390093,0,52,48,46.40622,49.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49278,77293,2/10/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/6/2017,2/10/2017,Ipsos,B+,1765,a,.1560744,0,46.7,47.6,47.46605,46.34121,"",T,http://polling.reuters.com/#poll/CP3_2/,49409,77582,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/7/2017,2/8/2017,Public Policy Polling,B,712,rv,.8233231,0,43,53,42.47736,53.27782,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_21017.pdf,49287,77302,2/9/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/6/2017,2/12/2017,SurveyMonkey,D-,9349,a,.2150589,0,46,53,43.57378,52.00428,"","",https://blog.electiontracking.surveymonkey.com/2017/02/13/trump-approval-february-6-12/,49281,77296,2/13/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/8/2017,2/10/2017,Gallup,B,1500,a,.1491415,0,41,53,42.1321,51.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49283,77298,2/11/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/7/2017,2/11/2017,Ipsos,B+,1770,a,.157012,0,46.7,47.5,47.46605,46.24121,"",T,http://polling.reuters.com/#poll/CP3_2/,49408,77581,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/9/2017,2/11/2017,Gallup,B,1500,a,.1486977,0,40,55,41.1321,53.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49285,77300,2/12/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/7/2017,2/12/2017,Pew Research Center,B-,1503,a,1.415614,0,39,56,40.95558,52.64002,"","",http://www.people-press.org/2017/02/16/in-first-month-views-of-trump-are-already-strongly-felt-deeply-polarized/?utm_source=adaptivemailer&utm_medium=email&utm_campaign=17-02-15%20feb%20political&org=982&lvl=100&ite=819&lea=171698&ctr=0&par=1&trk=,49308,77323,2/13/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/8/2017,2/12/2017,Ipsos,B+,1774,a,.1577315,0,46.3,48.4,47.06605,47.14121,"",T,http://polling.reuters.com/#poll/CP3_2/,49407,77580,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/8/2017,2/12/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.0826714,0,52,48,46.40622,49.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49284,77299,2/13/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/9/2017,2/10/2017,Morning Consult,B-,1791,rv,.7087932,0,49,45,47.36335,46.6701,"","",https://morningconsult.com/2017/02/15/poll-warren-wouldnt-beat-trump-2020-another-democrat/,49296,77311,2/11/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/9/2017,2/13/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2456696,0,52,48,46.40622,49.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49288,77303,2/14/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/10/2017,2/12/2017,Gallup,B,1500,a,.1483796,0,40,54,41.1321,52.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49279,77294,2/13/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/9/2017,2/13/2017,Ipsos,B+,1813,a,.1613982,0,46.3,48.5,47.06605,47.24121,"",T,http://polling.reuters.com/#poll/CP3_2/,49406,77579,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/11/2017,2/13/2017,Fox News,A,1013,rv,1.81272,0,48,47,46.04086,47.84013,"","",http://www.foxnews.com/politics/interactive/2017/02/14/fox-news-poll-february-14-2017/,49293,77308,2/14/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/11/2017,2/13/2017,Harris Interactive,C+,2148,rv,1.342118,0,48,52,43.78488,51.1301,"","",http://harvardharrispoll.com/wp-content/uploads/2017/02/Harvard-Harris-Topline-2.17.2017-Final.pdf,49369,77450,2/14/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/10/2017,2/14/2017,Ipsos,B+,1777,a,.1581771,0,45.3,50.6,46.06605,49.34121,"",T,http://polling.reuters.com/#poll/CP3_2/,49405,77578,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/11/2017,2/13/2017,Gallup,B,1500,a,.1480987,0,40,54,41.1321,52.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49282,77297,2/14/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/12/2017,2/14/2017,Gallup,B,1500,a,.1478532,0,40,53,41.1321,51.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49298,77314,2/15/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/11/2017,2/15/2017,Ipsos,B+,1766,a,.1566115,0,45.8,50.4,46.56605,49.14121,"",T,http://polling.reuters.com/#poll/CP3_2/,49404,77577,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/12/2017,2/14/2017,YouGov,B,1500,a,.801548,0,43,47,43.92881,49.31638,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5amsxmrtih/econToplines.pdf,49295,77310,2/15/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/12/2017,2/14/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1357629,0,53,47,47.40622,48.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49294,77309,2/15/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/13/2017,2/15/2017,Gallup,B,1500,a,.1476415,0,40,54,41.1321,52.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49303,77319,2/16/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/12/2017,2/16/2017,Ipsos,B+,1718,a,.1515902,0,45.9,50.2,46.66605,48.94121,"",T,http://polling.reuters.com/#poll/CP3_2/,49403,77576,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/13/2017,2/15/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1360041,0,55,45,49.40622,46.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49302,77318,2/16/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/14/2017,2/16/2017,Gallup,B,1500,a,.1474624,0,38,56,39.1321,54.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49297,77313,2/17/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/14/2017,2/16/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1360634,0,55,45,49.40622,46.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49300,77316,2/17/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/13/2017,2/17/2017,SurveyMonkey,D-,9163,a,.1629792,0,45,53,42.57378,52.00428,"","",https://blog.electiontracking.surveymonkey.com/2017/02/17/trump-approval-february-13-17/,49306,77322,2/18/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/13/2017,2/17/2017,Ipsos,B+,2512,a,.2205235,0,45.1,51.1,45.86605,49.84121,"",T,http://polling.reuters.com/#poll/CP3_2/,49402,77575,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/13/2017,2/19/2017,Kaiser Family Foundation,"",1160,a,1.544195,0,41,52,41.96839,50.2783,"","",http://files.kff.org/attachment/Topline-Kaiser-Health-Tracking-Poll-Future-Directions-for-the-ACA-and-Medicaid,56895,91791,11/16/2018,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/14/2017,2/18/2017,Ipsos,B+,2334,a,.2044181,0,44.3,52.1,45.06605,50.84121,"",T,http://polling.reuters.com/#poll/CP3_2/,49401,77574,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/15/2017,2/17/2017,Gallup,B,1500,a,.1473147,0,40,55,41.1321,53.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49301,77317,2/18/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,2/13/2017,2/19/2017,SurveyMonkey,D-,11512,a,.2017757,0,43,54,40.57378,53.00428,"","",http://www.nbcnews.com/feature/data-points/poll-majority-americans-worried-about-war-feel-favorably-toward-nato-n723931,49314,77330,2/20/2017,17:50:42 11 Sep 2019
